# Playlist Blind Test — IDs Deezer
# 1337 morceaux, tous avec une année vérifiée
# Format : deezer:ID | titre(s) | artiste(s) | annee | notoriete
# notoriete = 0 a 100 : position du titre parmi ceux de sa decennie
#             (100 = le plus ecoute aujourd'hui de son epoque)

deezer:7120484 | Au bout de mes rêves | Jean-Jacques Goldman | 1982 | 38
deezer:4083976201 | OUTSIDER | lowey | 2026 | 56
deezer:7120485 | Comme toi | Jean-Jacques Goldman | 1982 | 34
deezer:1698086727 | PS : Je t'aime | Christophe Willem | 2022 | 34
deezer:2178692687 | Hey Bro | Eloïz | 2023 | 39
deezer:662153222 | Tombé | M. Pokora | 2019 | 41
deezer:64699122 | Experience | Ludovico Einaudi | 2013 | 65
deezer:2969746341 | Poesía | Sofiane Pamart | 2024 | 53
deezer:23712561 | Einaudi: Una Mattina | Ludovico Einaudi | 2007 | 60
deezer:1386411742 | Fly | Ludovico Einaudi | 2006 | 41
deezer:3896706281 | Beauty | Sofiane Pamart | 2026 | 43
deezer:69261831 | Divenire | Ludovico Einaudi | 2006 | 25
deezer:3856158821 | Jay | Ludovico Einaudi | 2025 | 29
deezer:4060881211 | Shine | Jon Batiste | 2026 | 40
deezer:4053522921 | Echoes of His love | Christian Janssen | 2026 | 30
deezer:4019743311 | Kame | Max Kelm | 2026 | 38
deezer:3977102181 | Alcova | Olivia Belli | 2026 | 39
deezer:543154902 | saman | Ólafur Arnalds | 2018 | 27
deezer:3990324661 | Palme d'or | Vulax | 2026 | 37
deezer:4029124351 | Porcelain | Monoraum | 2026 | 37
deezer:1547320802 | LOVE | Sofiane Pamart | 2021 | 28
deezer:4029124431 | La Chambre Orange | Antonio Ministeri | 2026 | 36
deezer:3996999231 | Grateful | Alexis Ffrench | 2026 | 27
deezer:1547320772 | DEAR | Sofiane Pamart | 2022 | 29
deezer:3974353941 | Valzer d'Estate | Andrea Vanzo | 2026 | 36
deezer:77019570 | Richter: Spring 1 (2012) | Max Richter | 2014 | 22
deezer:3751347562 | Memory One | Ludovico Einaudi | 2026 | 33
deezer:69261838 | Primavera | Ludovico Einaudi | 2006 | 30
deezer:120349902 | Time in a Bottle | Jim Croce | 1972 | 11
deezer:127563043 | Light of the Seven | Ramin Djawadi | 2016 | 15
deezer:3112517281 | Solas | Jamie Duffy | 2022 | 24
deezer:1844670757 | Il Mio Rifugio (Original Motion Picture Soundtrack from Tandem) | Richard Cocciante | 1987 | 12
deezer:3919125471 | Ashitaka | Vulax | 2026 | 22
deezer:3256923811 | PASSO BEM SOLTO (Ultra Slowed) | ATLXS | 2025 | 6
deezer:3966813341 | Kawakami | Akira Kosemura | 2026 | 32
deezer:3849941971 | In Time (Morning Take) | Annelie | 2026 | 20
deezer:72059732 | Circles (based on Ludovico Einaudi "Experience") | Greta Svabo Bech | 2013 | 12
deezer:3819632441 | pApillons | Vulax | 2026 | 28
deezer:3097275 | Bach JS: Cello Suite No. 1 in G Major BWV 1007: I. Prelude | Mstislav Rostropovich | 1996 | 16
deezer:780919422 | Medellin | Sofiane Pamart | 2019 | 7
deezer:2126036777 | Experience (Solo Piano) | Ludovico Einaudi | 2023 | 15
deezer:4022764911 | Dessner: Goiza Larrunen | Marielle Labèque | 2026 | 19
deezer:3952989991 | False Memory Waltz | Roger Eno | 2026 | 29
deezer:3656706392 | Voilà | André Rieu | 2023 | 18
deezer:3956684801 | Blackbird Returning | Alexis Ffrench | 2026 | 27
deezer:3944626591 | A gentle prayer | Christian Janssen | 2026 | 27
deezer:1181474022 | Paris | Sofiane Pamart | 2019 | 12
deezer:3259892671 | Luminary | Joel Sunny | 2023 | 12
deezer:3256923831 | PASSO BEM SOLTO (Extreme Slowed) | ATLXS | 2025 | 6
deezer:3309679701 | VIOLENTO (Slowed) | Kobe Mane | 2025 | 8
deezer:780919432 | Planet | Sofiane Pamart | 2019 | 16
deezer:3893438311 | Blanc | SYML | 2026 | 15
deezer:3880840051 | L'île | Alban Claudin | 2026 | 26
deezer:3608229702 | Floating in Reverie | Moayad Aljabal | 2025 | 8
deezer:3966813321 | Life Is Friendship | Akira Kosemura | 2026 | 25
deezer:128951018 | Greenlight | Pitbull | 2016 | 13
deezer:2576777342 | ICARUS | Tony Ann | 2023 | 18
deezer:3050851971 | Pathos | Ludovico Einaudi | 2024 | 11
deezer:3515218401 | Borealis | Sofiane Pamart | 2021 | 19
deezer:3167154551 | Mercédès | Alban Claudin | 2025 | 16
deezer:68301402 | Eine kleine Nachtmusik K. 525 : Mozart: Eine kleine Nachtmusik K. 525: I. Allegro | Wiener Philharmoniker | 1996 | 15
deezer:3912850921 | Migration | HanMari | 2026 | 23
deezer:497150662 | Richter: On the Nature of Daylight | Max Richter | 2018 | 14
deezer:3449991811 | Valzer d'Inverno | Andrea Vanzo | 2023 | 21
deezer:3925157851 | The Butterfly (Slowed + Birds) | Andrea Vanzo | 2026 | 24
deezer:3896706351 | How To Love | Sofiane Pamart | 2026 | 10
deezer:3963077251 | Serenity | Martèn LeGrand | 2026 | 13
deezer:65442076 | Symphony No. 5 in C Minor Op. 67 : Beethoven: Symphony No. 5 in C Minor Op. 67: I. Allegro con brio | Berliner Philharmoniker | 1999 | 7
deezer:132937448 | Porz Goret | Yann Tiersen | 2016 | 9
deezer:3952477261 | hurt | Ola Gjeilo | 2026 | 22
deezer:2305654 | We Are The World | Luciano Pavarotti | 1985 | 9
deezer:3896706271 | Moviestar | Sofiane Pamart | 2026 | 10
deezer:1181473952 | La Havane | Sofiane Pamart | 2019 | 8
deezer:1457007802 | Nocturnes Op. 9 : Chopin: Nocturnes Op. 9: No. 2 in E Flat Major. Andante | Jan Lisiecki | 2021 | 9
deezer:1181474092 | Nara | Sofiane Pamart | 2020 | 13
deezer:3884580681 | Tributary (Satie Rework) | Roger Eno | 2026 | 22
deezer:548844302 | Gortoz A Ran | Denez Prigent | 2000 | 8
deezer:931207382 | Été | Antonio Vivaldi | 2002 | 7
deezer:1086622472 | 3 Gymnopédies: No. 1 Lent et douloureux | Khatia Buniatishvili | 2020 | 15
deezer:3016483451 | Passenger | Maxence Cyrin | 2024 | 15
deezer:2764945321 | Mystery of Love | Alban Claudin | 2024 | 11
deezer:3603985022 | Jóhannsson: Odi et Amo/Krókódíll (Performed on Piano) | Alice Sara Ott | 2025 | 11
deezer:646298592 | The Well-Tempered Clavier I Prelude & Fugue No. 1 in C Major BWV 846 : J.S. Bach: The Well-Tempered Clavier I Prelude & Fugue No. 1 in C Major BWV 846: I. Prelude | Lang Lang | 2019 | 11
deezer:2432360075 | Pompeii MMXXIII | Bastille | 2023 | 7
deezer:1181474072 | London | Sofiane Pamart | 2020 | 8
deezer:69089334 | Beethoven: Piano Sonata No. 14 in C-Sharp Minor Op. 27 No. 2 "Moonlight": I. Adagio sostenuto | Daniel Barenboim | 2013 | 15
deezer:3465585041 | Sideways | Mina Amare | 2026 | 20
deezer:3711924492 | For Grandpa - Memory 4 | Akira Kosemura | 2025 | 9
deezer:430251032 | Saint-Saëns / Transcr. Vidal: Le carnaval des animaux: XIII. Le cygne | Gautier Capuçon | 2018 | 18
deezer:1181473962 | Le Caire | Sofiane Pamart | 2019 | 8
deezer:3804153512 | Night Music | Bruno Bavota | 2026 | 19
deezer:3896706231 | Watching You | Sofiane Pamart | 2026 | 5
deezer:3790185132 | Komorebi | ALVED | 2026 | 17
deezer:4152845 | Orchestral Suite No. 3 in D Major BWV 1068 : J.S. Bach: Orchestral Suite No. 3 in D Major BWV 1068: II. Air "on the G String" | David Bell | 2008 | 14
deezer:3018519691 | Habibi (Love) | TUNE YOUR MIND | 2024 | 18
deezer:2751516931 | Ikigai | Anis Bahmed | 2024 | 15
deezer:4017571721 | Lady Be Good - Berceuse in F# | Lucas Debargue | 2026 | 17
deezer:3152501561 | Dark Winter | Kevin Olusola | 2025 | 1
deezer:3583832591 | Intrusive Thoughts | Peter Sandberg | 2026 | 14
deezer:2792730592 | GEMINI “The Curious” | Tony Ann | 2024 | 7
deezer:2427401395 | Noche | Sofiane Pamart | 2023 | 0
deezer:907425 | You Are My Destiny | Paul Anka | 1957 | 0
deezer:64699113 | Life | Ludovico Einaudi | 2013 | 6
deezer:67344994 | Toccata & Fugue in D Minor BWV 565 : J.S. Bach: Toccata & Fugue in D Minor BWV 565: II. Fugue | Simon Preston | 1990 | 2
deezer:872359722 | Merry-Go-Round of Life (from 'Howl's Moving Castle') | Joe Hisaishi | 2020 | 9
deezer:4124348 | Puccini: Nessun dorma! | Luciano Pavarotti | 1997 | 0
